Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Requires Shipping,Variant Taxable,Image Src,Image Position,Image Alt Text,Status
dainty-gold-petite-crystal-solitaire-ring,Dainty Gold Petite Crystal Solitaire Ring,"<p>The smallest wink of a crystal on a slim beaded band — barely-there sparkle for the days you want to feel put-together in seconds. Made for stacking, made for forgetting you have it on.</p><ul><li>14k gold-plated sterling silver (95% recycled base)</li><li>Petite round-cut 5A clear zircon</li><li>Hand-finished &amp; polished</li><li>Arrives in an anti-oxidation pouch</li></ul><p><em>Jewelry that marks your every becoming.</em></p>",herprint,Rings,"Rings, Gold, Clear, Solitaire, Dainty, New",FALSE,Title,Default Title,shopify,100,deny,manual,49.90,TRUE,TRUE,https://cdn.shopify.com/s/files/1/0688/1437/3056/files/RG_06_W.jpg,1,Dainty Gold Petite Crystal Solitaire Ring,draft
dainty-gold-petite-crystal-solitaire-ring,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0688/1437/3056/files/RG_06_ON_01.jpg,2,Dainty Gold Petite Crystal Solitaire Ring,
delicate-gold-pave-bar-chain-ring,Delicate Gold Pavé Bar Chain Ring,"<p>A soft gold chain that drapes around the finger, anchored by a single pavé bar of tiny crystals. Fluid, featherlight, and quietly modern.</p><ul><li>14k gold-plated sterling silver (95% recycled base)</li><li>Pavé-set 5A clear zircon bar on a flexible chain band</li><li>Adjustable fit</li><li>Hand-finished &amp; polished</li><li>Arrives in an anti-oxidation pouch</li></ul><p><em>Jewelry that marks your every becoming.</em></p>",herprint,Rings,"Rings, Gold, Clear, Chain, Dainty, Adjustable, New",FALSE,Title,Default Title,shopify,100,deny,manual,49.90,TRUE,TRUE,https://cdn.shopify.com/s/files/1/0688/1437/3056/files/RG_07_W.jpg,1,Delicate Gold Pavé Bar Chain Ring,draft
delicate-gold-pave-bar-chain-ring,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0688/1437/3056/files/RG_07_ON_01.jpg,2,Delicate Gold Pavé Bar Chain Ring,
vintage-gold-green-pear-crystal-wishbone-ring,Vintage Gold Green Pear Crystal Wishbone Ring,"<p>A pear of deep green crystal tilts above a delicate wishbone band, with a single clear stone for company. A little heirloom feeling, a little wish waiting to be made.</p><ul><li>14k gold-plated sterling silver (95% recycled base)</li><li>Pear-cut 5A green zircon with clear zircon accent</li><li>Milgrain wishbone band</li><li>Hand-finished &amp; polished</li><li>Arrives in an anti-oxidation pouch</li></ul><p><em>Jewelry that marks your every becoming.</em></p>",herprint,Rings,"Rings, Gold, Green, Pear, Vintage, New",FALSE,Title,Default Title,shopify,100,deny,manual,59.90,TRUE,TRUE,https://cdn.shopify.com/s/files/1/0688/1437/3056/files/RG_08_W.jpg,1,Vintage Gold Green Pear Crystal Wishbone Ring,draft
dainty-gold-five-crystal-stacking-ring,Dainty Gold Five-Crystal Stacking Ring,"<p>Five little crystals in a row, spaced like a constellation across a fine gold band. The kind of ring you stack two, three deep and never take off.</p><ul><li>14k gold-plated sterling silver (95% recycled base)</li><li>Five round-cut 5A clear zircon stones</li><li>Adjustable open band</li><li>Hand-finished &amp; polished</li><li>Arrives in an anti-oxidation pouch</li></ul><p><em>Jewelry that marks your every becoming.</em></p>",herprint,Rings,"Rings, Gold, Clear, Stacking, Dainty, Adjustable, New",FALSE,Title,Default Title,shopify,100,deny,manual,49.90,TRUE,TRUE,https://cdn.shopify.com/s/files/1/0688/1437/3056/files/RG_09_W.jpg,1,Dainty Gold Five-Crystal Stacking Ring,draft
romantic-pink-heart-crystal-eternity-ring,Romantic Pink Heart Crystal Eternity Ring,"<p>A full circle of hearts, because some feelings deserve to go all the way around. A continuous band of heart-cut pink crystal — soft, unbroken sparkle from every angle.</p><ul><li>Rhodium-plated sterling silver (95% recycled base)</li><li>Heart-cut 5A pink zircon, full eternity setting</li><li>Hand-finished &amp; polished</li><li>Arrives in an anti-oxidation pouch</li></ul><p><em>Jewelry that marks your every becoming.</em></p>",herprint,Rings,"Rings, Silver, Pink, Heart, Eternity, Statement, New",FALSE,Title,Default Title,shopify,100,deny,manual,69.90,TRUE,TRUE,https://cdn.shopify.com/s/files/1/0688/1437/3056/files/RG_10_W.jpg,1,Romantic Pink Heart Crystal Eternity Ring,draft
vintage-green-oval-crystal-white-enamel-ring,Vintage Green Oval Crystal & White Enamel Ring,"<p>A vivid green oval framed by bands of white enamel and tiny pavé crystals — a ring with the poise of a vintage heirloom and the colour of something new. Made to be noticed.</p><ul><li>Rhodium-plated sterling silver (95% recycled base)</li><li>Oval-cut 5A green zircon, pavé clear zircon &amp; white enamel</li><li>Hand-finished &amp; polished</li><li>Arrives in an anti-oxidation pouch</li></ul><p><em>Jewelry that marks your every becoming.</em></p>",herprint,Rings,"Rings, Silver, Green, Oval, Enamel, Statement, Vintage, New",FALSE,Title,Default Title,shopify,100,deny,manual,69.90,TRUE,TRUE,https://cdn.shopify.com/s/files/1/0688/1437/3056/files/RG_11_W.jpg,1,Vintage Green Oval Crystal & White Enamel Ring,draft
whimsical-silver-multi-gem-celestial-ring,Whimsical Silver Multi-Gem Celestial Ring,"<p>A baguette, a tiny heart, a little star — a scatter of coloured crystals across a softly sculpted, molten-looking band. Playful, personal, and unlike anything else in the drawer.</p><ul><li>Rhodium-plated sterling silver (95% recycled base)</li><li>Mixed-cut 5A zircon in yellow, olive &amp; pink</li><li>Adjustable open band</li><li>Hand-finished &amp; polished</li><li>Arrives in an anti-oxidation pouch</li></ul><p><em>Jewelry that marks your every becoming.</em></p>",herprint,Rings,"Rings, Silver, Multicolour, Celestial, Adjustable, New",FALSE,Title,Default Title,shopify,100,deny,manual,59.90,TRUE,TRUE,https://cdn.shopify.com/s/files/1/0688/1437/3056/files/RG_12_W.jpg,1,Whimsical Silver Multi-Gem Celestial Ring,draft
romantic-pink-oval-crystal-enamel-ring,Romantic Pink Oval Crystal & Enamel Ring,"<p>A soft pink oval cradled between panels of blush enamel and sparkling pavé. Tender and a touch regal — the ring you reach for when you want to feel like the main character.</p><ul><li>Rhodium-plated sterling silver (95% recycled base)</li><li>Oval-cut 5A pink zircon, pavé clear zircon &amp; pink enamel</li><li>Hand-finished &amp; polished</li><li>Arrives in an anti-oxidation pouch</li></ul><p><em>Jewelry that marks your every becoming.</em></p>",herprint,Rings,"Rings, Silver, Pink, Oval, Enamel, Statement, New",FALSE,Title,Default Title,shopify,100,deny,manual,69.90,TRUE,TRUE,https://cdn.shopify.com/s/files/1/0688/1437/3056/files/RG_13_W.jpg,1,Romantic Pink Oval Crystal & Enamel Ring,draft
sparkling-silver-heart-crystal-eternity-ring,Sparkling Silver Heart Crystal Eternity Ring,"<p>A circle of clear heart-cut crystals, edge to edge, with nowhere for the sparkle to stop. Quietly romantic, endlessly wearable.</p><ul><li>Rhodium-plated sterling silver (95% recycled base)</li><li>Heart-cut 5A clear zircon, full eternity setting</li><li>Hand-finished &amp; polished</li><li>Arrives in an anti-oxidation pouch</li></ul><p><em>Jewelry that marks your every becoming.</em></p>",herprint,Rings,"Rings, Silver, Clear, Heart, Eternity, Statement, New",FALSE,Title,Default Title,shopify,100,deny,manual,69.90,TRUE,TRUE,https://cdn.shopify.com/s/files/1/0688/1437/3056/files/RG_14_W.jpg,1,Sparkling Silver Heart Crystal Eternity Ring,draft
statement-silver-mixed-cut-crystal-wrap-ring,Statement Silver Mixed-Cut Crystal Wrap Ring,"<p>Pear, round and baguette crystals tumble together in an open wrap, like a cluster caught mid-bloom. An open-front design that feels generous without ever feeling heavy.</p><ul><li>Rhodium-plated sterling silver (95% recycled base)</li><li>Mixed-cut 5A clear zircon, open wrap setting</li><li>Hand-finished &amp; polished</li><li>Arrives in an anti-oxidation pouch</li></ul><p><em>Jewelry that marks your every becoming.</em></p>",herprint,Rings,"Rings, Silver, Clear, Cluster, Statement, New",FALSE,Title,Default Title,shopify,100,deny,manual,69.90,TRUE,TRUE,https://cdn.shopify.com/s/files/1/0688/1437/3056/files/RG_15_W.jpg,1,Statement Silver Mixed-Cut Crystal Wrap Ring,draft
ethereal-silver-crystal-laurel-vine-ring,Ethereal Silver Crystal Laurel Vine Ring,"<p>Marquise crystals set like leaves along a curving vine that wraps the finger. A little botanical, a little goddess — the kind of ring that starts conversations.</p><ul><li>Rhodium-plated sterling silver (95% recycled base)</li><li>Marquise-cut 5A clear zircon, laurel vine design</li><li>Hand-finished &amp; polished</li><li>Arrives in an anti-oxidation pouch</li></ul><p><em>Jewelry that marks your every becoming.</em></p>",herprint,Rings,"Rings, Silver, Clear, Floral, Statement, New",FALSE,Title,Default Title,shopify,100,deny,manual,69.90,TRUE,TRUE,https://cdn.shopify.com/s/files/1/0688/1437/3056/files/RG_16_W.jpg,1,Ethereal Silver Crystal Laurel Vine Ring,draft
bold-gold-heart-crystal-signet-ring,Bold Gold Heart Crystal Signet Ring,"<p>A single heart-cut crystal sunk flush into a smooth, domed gold signet. Chunky, confident, and just sentimental enough. Wear it like a seal on everything you are becoming.</p><ul><li>14k gold-plated sterling silver (95% recycled base)</li><li>Heart-cut 5A clear zircon, flush-set dome</li><li>Hand-finished &amp; polished</li><li>Arrives in an anti-oxidation pouch</li></ul><p><em>Jewelry that marks your every becoming.</em></p>",herprint,Rings,"Rings, Gold, Clear, Heart, Signet, Statement, New",FALSE,Title,Default Title,shopify,100,deny,manual,69.90,TRUE,TRUE,https://cdn.shopify.com/s/files/1/0688/1437/3056/files/RG_17_W.jpg,1,Bold Gold Heart Crystal Signet Ring,draft
modern-gold-scattered-baguette-ring,Modern Gold Scattered Baguette Ring,"<p>Baguette crystals set at playful, staggered angles along an open band — a little art-deco, a little firework. Architectural sparkle for the minimalist who likes a wink of drama.</p><ul><li>14k gold-plated sterling silver (95% recycled base)</li><li>Baguette-cut 5A clear zircon, staggered open band</li><li>Hand-finished &amp; polished</li><li>Arrives in an anti-oxidation pouch</li></ul><p><em>Jewelry that marks your every becoming.</em></p>",herprint,Rings,"Rings, Gold, Clear, Baguette, Modern, New",FALSE,Title,Default Title,shopify,100,deny,manual,59.90,TRUE,TRUE,https://cdn.shopify.com/s/files/1/0688/1437/3056/files/RG_18_W.jpg,1,Modern Gold Scattered Baguette Ring,draft
dainty-gold-baguette-cluster-ring,Dainty Gold Baguette Cluster Ring,"<p>Three baguette crystals clustered close on a fine gold band — small, sharp and quietly luxe. The everyday ring that always looks intentional.</p><ul><li>14k gold-plated sterling silver (95% recycled base)</li><li>Baguette-cut 5A clear zircon cluster</li><li>Adjustable open band</li><li>Hand-finished &amp; polished</li><li>Arrives in an anti-oxidation pouch</li></ul><p><em>Jewelry that marks your every becoming.</em></p>",herprint,Rings,"Rings, Gold, Clear, Baguette, Dainty, Adjustable, New",FALSE,Title,Default Title,shopify,100,deny,manual,49.90,TRUE,TRUE,https://cdn.shopify.com/s/files/1/0688/1437/3056/files/RG_19_W.jpg,1,Dainty Gold Baguette Cluster Ring,draft
minimalist-gold-baguette-solitaire-ring,Minimalist Gold Baguette Solitaire Ring,"<p>One clean baguette crystal on the thinnest gold band — the quiet definition of less is more. Stack it, layer it, or let it stand alone.</p><ul><li>14k gold-plated sterling silver (95% recycled base)</li><li>Baguette-cut 5A clear zircon solitaire</li><li>Adjustable open band</li><li>Hand-finished &amp; polished</li><li>Arrives in an anti-oxidation pouch</li></ul><p><em>Jewelry that marks your every becoming.</em></p>",herprint,Rings,"Rings, Gold, Clear, Baguette, Minimalist, Adjustable, New",FALSE,Title,Default Title,shopify,100,deny,manual,49.90,TRUE,TRUE,https://cdn.shopify.com/s/files/1/0688/1437/3056/files/RG_20_W.jpg,1,Minimalist Gold Baguette Solitaire Ring,draft
