Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Requires Shipping,Variant Taxable,Image Src,Image Position,Image Alt Text,Status
dainty-gold-crescent-crystal-stud-earrings,Dainty Gold Crescent Crystal Stud Earrings,"<p>A tiny gold crescent cradling a single crystal — a sliver of moon for your everyday. Soft, small, sweet.</p><ul><li>14k gold-plated sterling silver (95% recycled base)</li><li>Single round 5A clear zircon</li><li>Sold as a pair</li><li>Hand-finished & polished</li><li>Arrives in an anti-oxidation pouch</li></ul><p><em>Jewelry that marks your every becoming.</em></p>",herprint,Earrings,"Earrings, Gold, Clear, Stud, Dainty, New",FALSE,Title,Default Title,shopify,100,deny,manual,39.90,TRUE,TRUE,https://cdn.shopify.com/s/files/1/0688/1437/3056/files/ER_06_W.jpg,1,Dainty Gold Crescent Crystal Stud Earrings,draft
dainty-gold-crescent-crystal-stud-earrings,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0688/1437/3056/files/ER_06_ON.jpg,2,Dainty Gold Crescent Crystal Stud Earrings,
minimalist-brushed-gold-bar-stud-earrings,Minimalist Brushed Gold Geometric Stud Earrings,"<p>A faceted little geometric bar in brushed gold — pure form, no fuss. Architectural calm for the minimalist.</p><ul><li>14k gold-plated sterling silver (95% recycled base)</li><li>Sold as a pair</li><li>Hand-finished & polished</li><li>Arrives in an anti-oxidation pouch</li></ul><p><em>Jewelry that marks your every becoming.</em></p>",herprint,Earrings,"Earrings, Gold, Stud, Minimalist, Geometric, New",FALSE,Title,Default Title,shopify,100,deny,manual,39.90,TRUE,TRUE,https://cdn.shopify.com/s/files/1/0688/1437/3056/files/ER_07_W.jpg,1,Minimalist Brushed Gold Geometric Stud Earrings,draft
minimalist-brushed-gold-bar-stud-earrings,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0688/1437/3056/files/ER_07_ON.jpg,2,Minimalist Brushed Gold Geometric Stud Earrings,
dainty-gold-crystal-laurel-wreath-stud-earrings,Dainty Gold Crystal Laurel Wreath Stud Earrings,"<p>An open wreath of gold leaves dotted with crystals — a little goddess, a little garden. Petite enough to wear every day.</p><ul><li>14k gold-plated sterling silver (95% recycled base)</li><li>Pavé 5A clear zircon among gold leaves</li><li>Sold as a pair</li><li>Hand-finished & polished</li><li>Arrives in an anti-oxidation pouch</li></ul><p><em>Jewelry that marks your every becoming.</em></p>",herprint,Earrings,"Earrings, Gold, Clear, Stud, Floral, New",FALSE,Title,Default Title,shopify,100,deny,manual,49.90,TRUE,TRUE,https://cdn.shopify.com/s/files/1/0688/1437/3056/files/ER_08_W.jpg,1,Dainty Gold Crystal Laurel Wreath Stud Earrings,draft
dainty-gold-crystal-laurel-wreath-stud-earrings,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0688/1437/3056/files/ER_08_ON.jpg,2,Dainty Gold Crystal Laurel Wreath Stud Earrings,
gold-marquise-crystal-huggie-hoop-earrings,Gold Marquise Crystal Huggie Hoops,"<p>A single marquise crystal set sideways across a slim gold hoop — sleek, elongating, just enough sparkle.</p><ul><li>14k gold-plated sterling silver (95% recycled base)</li><li>Horizontal marquise 5A clear zircon</li><li>Hinged huggie closure</li><li>Sold as a pair</li><li>Hand-finished & polished</li><li>Arrives in an anti-oxidation pouch</li></ul><p><em>Jewelry that marks your every becoming.</em></p>",herprint,Earrings,"Earrings, Gold, Clear, Huggie, Hoop, New",FALSE,Title,Default Title,shopify,100,deny,manual,49.90,TRUE,TRUE,https://cdn.shopify.com/s/files/1/0688/1437/3056/files/ER_09_W.jpg,1,Gold Marquise Crystal Huggie Hoops,draft
gold-marquise-crystal-huggie-hoop-earrings,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0688/1437/3056/files/ER_09_ON.jpg,2,Gold Marquise Crystal Huggie Hoops,
gold-crystal-drop-chain-huggie-hoop-earrings,Gold Crystal Drop Chain Huggie Hoops,<p>A gold huggie with a little chain swinging a round crystal below — movement and shine that catch the eye when you turn your head.</p><ul><li>14k gold-plated sterling silver (95% recycled base)</li><li>Round 5A clear zircon on a chain drop</li><li>Hinged huggie closure</li><li>Sold as a pair</li><li>Hand-finished & polished</li><li>Arrives in an anti-oxidation pouch</li></ul><p><em>Jewelry that marks your every becoming.</em></p>,herprint,Earrings,"Earrings, Gold, Clear, Huggie, Hoop, Drop, New",FALSE,Title,Default Title,shopify,100,deny,manual,49.90,TRUE,TRUE,https://cdn.shopify.com/s/files/1/0688/1437/3056/files/ER_10_W.jpg,1,Gold Crystal Drop Chain Huggie Hoops,draft
gold-crystal-drop-chain-huggie-hoop-earrings,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0688/1437/3056/files/ER_10_ON.jpg,2,Gold Crystal Drop Chain Huggie Hoops,
gold-crystal-cross-charm-huggie-hoop-earrings,Gold Crystal Huggie Hoops with Cross Charm,"<p>A crystal-lit gold hoop with a tiny cross swinging beneath — a little meaning, a little movement. Quietly devotional.</p><ul><li>14k gold-plated sterling silver (95% recycled base)</li><li>Two round 5A clear zircon with cross charm</li><li>Hinged huggie closure</li><li>Sold as a pair</li><li>Hand-finished & polished</li><li>Arrives in an anti-oxidation pouch</li></ul><p><em>Jewelry that marks your every becoming.</em></p>",herprint,Earrings,"Earrings, Gold, Clear, Huggie, Hoop, Cross, New",FALSE,Title,Default Title,shopify,100,deny,manual,49.90,TRUE,TRUE,https://cdn.shopify.com/s/files/1/0688/1437/3056/files/ER_11_W.jpg,1,Gold Crystal Huggie Hoops with Cross Charm,draft
gold-crystal-cross-charm-huggie-hoop-earrings,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0688/1437/3056/files/ER_11_ON.jpg,2,Gold Crystal Huggie Hoops with Cross Charm,
gold-twisted-crystal-pave-huggie-hoop-earrings,Gold Twisted Crystal Pavé Huggie Hoops,<p>A twisted gold huggie scattered with tiny crystals — warm texture and fine sparkle wrapped around the lobe.</p><ul><li>14k gold-plated sterling silver (95% recycled base)</li><li>Scattered pavé 5A clear zircon</li><li>Hinged huggie closure</li><li>Sold as a pair</li><li>Hand-finished & polished</li><li>Arrives in an anti-oxidation pouch</li></ul><p><em>Jewelry that marks your every becoming.</em></p>,herprint,Earrings,"Earrings, Gold, Clear, Huggie, Hoop, New",FALSE,Title,Default Title,shopify,100,deny,manual,49.90,TRUE,TRUE,https://cdn.shopify.com/s/files/1/0688/1437/3056/files/ER_12_W.jpg,1,Gold Twisted Crystal Pavé Huggie Hoops,draft
gold-twisted-crystal-pave-huggie-hoop-earrings,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0688/1437/3056/files/ER_12_ON.jpg,2,Gold Twisted Crystal Pavé Huggie Hoops,
gold-wavy-triple-crystal-huggie-hoop-earrings,Gold Wavy Triple Crystal Huggie Hoops,"<p>A softly waving gold hoop set with three crystals — a little rhythm, a little shine. Modern movement for the everyday.</p><ul><li>14k gold-plated sterling silver (95% recycled base)</li><li>Three prong-set round 5A clear zircon</li><li>Hinged huggie closure</li><li>Sold as a pair</li><li>Hand-finished & polished</li><li>Arrives in an anti-oxidation pouch</li></ul><p><em>Jewelry that marks your every becoming.</em></p>",herprint,Earrings,"Earrings, Gold, Clear, Huggie, Hoop, New",FALSE,Title,Default Title,shopify,100,deny,manual,49.90,TRUE,TRUE,https://cdn.shopify.com/s/files/1/0688/1437/3056/files/ER_13_W.jpg,1,Gold Wavy Triple Crystal Huggie Hoops,draft
gold-wavy-triple-crystal-huggie-hoop-earrings,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0688/1437/3056/files/ER_13_ON.jpg,2,Gold Wavy Triple Crystal Huggie Hoops,
bold-gold-crystal-pave-chunky-huggie-hoop-earrings,Bold Gold Crystal Pavé Chunky Huggie Hoops,"<p>A wider, chunkier gold huggie flush-set with crystals — the bolder hoop for when you want presence without weight.</p><ul><li>14k gold-plated sterling silver (95% recycled base)</li><li>Flush-set scattered 5A clear zircon</li><li>Hinged huggie closure</li><li>Sold as a pair</li><li>Hand-finished & polished</li><li>Arrives in an anti-oxidation pouch</li></ul><p><em>Jewelry that marks your every becoming.</em></p>",herprint,Earrings,"Earrings, Gold, Clear, Huggie, Hoop, Statement, New",FALSE,Title,Default Title,shopify,100,deny,manual,49.90,TRUE,TRUE,https://cdn.shopify.com/s/files/1/0688/1437/3056/files/ER_14_W.jpg,1,Bold Gold Crystal Pavé Chunky Huggie Hoops,draft
bold-gold-crystal-pave-chunky-huggie-hoop-earrings,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0688/1437/3056/files/ER_14_ON.jpg,2,Bold Gold Crystal Pavé Chunky Huggie Hoops,
dainty-gold-green-baguette-crystal-stud-earrings,Dainty Gold Green Baguette Crystal Stud Earrings,"<p>One slim green baguette in gold — a sliver of emerald colour for your everyday stack. Tiny, sharp, jewel-like.</p><ul><li>14k gold-plated sterling silver (95% recycled base)</li><li>Baguette-cut 5A green zircon</li><li>Sold as a pair</li><li>Hand-finished & polished</li><li>Arrives in an anti-oxidation pouch</li></ul><p><em>Jewelry that marks your every becoming.</em></p>",herprint,Earrings,"Earrings, Gold, Green, Stud, Dainty, New",FALSE,Title,Default Title,shopify,100,deny,manual,39.90,TRUE,TRUE,https://cdn.shopify.com/s/files/1/0688/1437/3056/files/ER_15_W.jpg,1,Dainty Gold Green Baguette Crystal Stud Earrings,draft
dainty-gold-green-baguette-crystal-stud-earrings,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0688/1437/3056/files/ER_15_ON.jpg,2,Dainty Gold Green Baguette Crystal Stud Earrings,
dainty-gold-olive-marquise-crystal-stud-earrings,Dainty Gold Olive Marquise Crystal Stud Earrings,"<p>A single smoky-olive marquise crystal in gold — moody, warm and barely-there. The unexpected neutral.</p><ul><li>14k gold-plated sterling silver (95% recycled base)</li><li>Marquise-cut 5A olive zircon</li><li>Sold as a pair</li><li>Hand-finished & polished</li><li>Arrives in an anti-oxidation pouch</li></ul><p><em>Jewelry that marks your every becoming.</em></p>",herprint,Earrings,"Earrings, Gold, Olive, Stud, Dainty, New",FALSE,Title,Default Title,shopify,100,deny,manual,39.90,TRUE,TRUE,https://cdn.shopify.com/s/files/1/0688/1437/3056/files/ER_16_W.jpg,1,Dainty Gold Olive Marquise Crystal Stud Earrings,draft
dainty-gold-olive-marquise-crystal-stud-earrings,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0688/1437/3056/files/ER_16_ON.jpg,2,Dainty Gold Olive Marquise Crystal Stud Earrings,
silver-marquise-crystal-huggie-hoop-earrings,Silver Marquise Crystal Huggie Hoops,"<p>A single marquise crystal set across a slim silver hoop — cool-toned, sleek, just enough light.</p><ul><li>Rhodium-plated sterling silver (95% recycled base)</li><li>Horizontal marquise 5A clear zircon</li><li>Hinged huggie closure</li><li>Sold as a pair</li><li>Hand-finished & polished</li><li>Arrives in an anti-oxidation pouch</li></ul><p><em>Jewelry that marks your every becoming.</em></p>",herprint,Earrings,"Earrings, Silver, Clear, Huggie, Hoop, New",FALSE,Title,Default Title,shopify,100,deny,manual,49.90,TRUE,TRUE,https://cdn.shopify.com/s/files/1/0688/1437/3056/files/ER_17_W.jpg,1,Silver Marquise Crystal Huggie Hoops,draft
silver-marquise-crystal-huggie-hoop-earrings,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0688/1437/3056/files/ER_17_ON.jpg,2,Silver Marquise Crystal Huggie Hoops,
silver-crystal-solitaire-huggie-hoop-earrings,Silver Crystal Solitaire Huggie Hoops,"<p>A silver huggie holding one bright solitaire crystal — clean, classic and quietly brilliant.</p><ul><li>Rhodium-plated sterling silver (95% recycled base)</li><li>Prong-set round 5A clear zircon solitaire</li><li>Hinged huggie closure</li><li>Sold as a pair</li><li>Hand-finished & polished</li><li>Arrives in an anti-oxidation pouch</li></ul><p><em>Jewelry that marks your every becoming.</em></p>",herprint,Earrings,"Earrings, Silver, Clear, Huggie, Hoop, New",FALSE,Title,Default Title,shopify,100,deny,manual,49.90,TRUE,TRUE,https://cdn.shopify.com/s/files/1/0688/1437/3056/files/ER_18_W.jpg,1,Silver Crystal Solitaire Huggie Hoops,draft
silver-crystal-solitaire-huggie-hoop-earrings,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0688/1437/3056/files/ER_18_ON.jpg,2,Silver Crystal Solitaire Huggie Hoops,
dainty-silver-teal-heart-crystal-stud-earrings,Dainty Silver Teal Heart Crystal Stud Earrings,"<p>A tiny teal heart in silver — a wash of sea-glass colour, small enough for every day. Sweet without trying.</p><ul><li>Rhodium-plated sterling silver (95% recycled base)</li><li>Heart-cut 5A teal zircon</li><li>Sold as a pair</li><li>Hand-finished & polished</li><li>Arrives in an anti-oxidation pouch</li></ul><p><em>Jewelry that marks your every becoming.</em></p>",herprint,Earrings,"Earrings, Silver, Teal, Heart, Stud, Dainty, New",FALSE,Title,Default Title,shopify,100,deny,manual,49.90,TRUE,TRUE,https://cdn.shopify.com/s/files/1/0688/1437/3056/files/ER_19_W.jpg,1,Dainty Silver Teal Heart Crystal Stud Earrings,draft
dainty-silver-teal-heart-crystal-stud-earrings,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0688/1437/3056/files/ER_19_ON.jpg,2,Dainty Silver Teal Heart Crystal Stud Earrings,
statement-amber-blue-marbled-resin-drop-earrings,Statement Amber & Blue Marbled Resin Drop Earrings,"<p>A bold disc of amber-and-blue marbled resin on a gold arch — warm, swirling colour that does all the talking. Lightweight statement.</p><ul><li>Gold-plated finish with hand-poured marbled resin</li><li>Sold as a pair</li><li>Hand-finished & polished</li><li>Arrives in an anti-oxidation pouch</li></ul><p><em>Jewelry that marks your every becoming.</em></p>",herprint,Earrings,"Earrings, Gold, Amber, Resin, Drop, Statement, New",FALSE,Title,Default Title,shopify,100,deny,manual,39.90,TRUE,TRUE,https://cdn.shopify.com/s/files/1/0688/1437/3056/files/ER_31_W.jpg,1,Statement Amber & Blue Marbled Resin Drop Earrings,draft
statement-amber-blue-marbled-resin-drop-earrings,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0688/1437/3056/files/ER_31_ON.jpg,2,Statement Amber & Blue Marbled Resin Drop Earrings,
bold-amber-resin-open-heart-hoop-earrings,Bold Amber Resin Open Heart Hoop Earrings,"<p>A chunky gold hoop threaded through an amber resin open heart — playful, glossy and unmistakably retro.</p><ul><li>Gold-plated finish with hand-poured marbled resin</li><li>Sold as a pair</li><li>Hand-finished & polished</li><li>Arrives in an anti-oxidation pouch</li></ul><p><em>Jewelry that marks your every becoming.</em></p>",herprint,Earrings,"Earrings, Gold, Amber, Resin, Heart, Hoop, New",FALSE,Title,Default Title,shopify,100,deny,manual,39.90,TRUE,TRUE,https://cdn.shopify.com/s/files/1/0688/1437/3056/files/ER_32_W.jpg,1,Bold Amber Resin Open Heart Hoop Earrings,draft
bold-amber-resin-open-heart-hoop-earrings,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0688/1437/3056/files/ER_32_ON.jpg,2,Bold Amber Resin Open Heart Hoop Earrings,
modern-marbled-resin-open-drop-earrings,Modern Marbled Resin Open Drop Earrings,"<p>A gold tab stud holding an open donut of cream-and-rust marbled resin — soft, organic, art-gallery cool.</p><ul><li>Gold-plated finish with hand-poured marbled resin</li><li>Sold as a pair</li><li>Hand-finished & polished</li><li>Arrives in an anti-oxidation pouch</li></ul><p><em>Jewelry that marks your every becoming.</em></p>",herprint,Earrings,"Earrings, Gold, Neutral, Resin, Drop, New",FALSE,Title,Default Title,shopify,100,deny,manual,39.90,TRUE,TRUE,https://cdn.shopify.com/s/files/1/0688/1437/3056/files/ER_33_W.jpg,1,Modern Marbled Resin Open Drop Earrings,draft
modern-marbled-resin-open-drop-earrings,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0688/1437/3056/files/ER_33_ON.jpg,2,Modern Marbled Resin Open Drop Earrings,
retro-purple-marbled-resin-oval-drop-earrings,Retro Purple Marbled Resin Oval Drop Earrings,"<p>A flat oval of purple marbled resin with an open centre on a hammered gold tab — moody colour, retro shape.</p><ul><li>Gold-plated finish with hand-poured marbled resin</li><li>Sold as a pair</li><li>Hand-finished & polished</li><li>Arrives in an anti-oxidation pouch</li></ul><p><em>Jewelry that marks your every becoming.</em></p>",herprint,Earrings,"Earrings, Gold, Purple, Resin, Drop, Retro, New",FALSE,Title,Default Title,shopify,100,deny,manual,39.90,TRUE,TRUE,https://cdn.shopify.com/s/files/1/0688/1437/3056/files/ER_47_W.jpg,1,Retro Purple Marbled Resin Oval Drop Earrings,draft
retro-purple-marbled-resin-oval-drop-earrings,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0688/1437/3056/files/ER_47_ON.jpg,2,Retro Purple Marbled Resin Oval Drop Earrings,
sculptural-gold-pleated-fan-statement-earrings,Sculptural Gold Pleated Fan Statement Earrings,"<p>A fan of pleated, fluted gold that fans out like a shell — pure sculpture, no stones. The statement for an unadorned neckline.</p><ul><li>14k gold-plated sterling silver (95% recycled base)</li><li>Sold as a pair</li><li>Hand-finished & polished</li><li>Arrives in an anti-oxidation pouch</li></ul><p><em>Jewelry that marks your every becoming.</em></p>",herprint,Earrings,"Earrings, Gold, Statement, Sculptural, New",FALSE,Title,Default Title,shopify,100,deny,manual,59.90,TRUE,TRUE,https://cdn.shopify.com/s/files/1/0688/1437/3056/files/ER_49_W.jpg,1,Sculptural Gold Pleated Fan Statement Earrings,draft
sculptural-gold-pleated-fan-statement-earrings,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0688/1437/3056/files/ER_49_ON.jpg,2,Sculptural Gold Pleated Fan Statement Earrings,
sparkling-clear-crystal-geometric-cube-stud-earrings,Sparkling Clear Crystal Geometric Cube Studs,"<p>A tight grid of princess-cut crystals built into a little cube cluster — all facets, all fire. A modern take on the classic crystal stud.</p><ul><li>Rhodium-plated sterling silver (95% recycled base)</li><li>Princess-cut 5A clear zircon cluster</li><li>Sold as a pair</li><li>Hand-finished & polished</li><li>Arrives in an anti-oxidation pouch</li></ul><p><em>Jewelry that marks your every becoming.</em></p>",herprint,Earrings,"Earrings, Silver, Clear, Stud, Cluster, New",FALSE,Title,Default Title,shopify,100,deny,manual,59.90,TRUE,TRUE,https://cdn.shopify.com/s/files/1/0688/1437/3056/files/ER_53_W.jpg,1,Sparkling Clear Crystal Geometric Cube Studs,draft
sparkling-clear-crystal-geometric-cube-stud-earrings,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0688/1437/3056/files/ER_53_ON.jpg,2,Sparkling Clear Crystal Geometric Cube Studs,
whimsical-gold-multicolour-crystal-wreath-stud-earrings,Whimsical Gold Multicolour Crystal Wreath Studs,"<p>An open gold wreath set with a confetti of coloured cabochons — red, green, yellow, pink. Joyful, eclectic, impossible to be sad in.</p><ul><li>14k gold-plated sterling silver (95% recycled base)</li><li>Multicolour 5A zircon cabochons</li><li>Sold as a pair</li><li>Hand-finished & polished</li><li>Arrives in an anti-oxidation pouch</li></ul><p><em>Jewelry that marks your every becoming.</em></p>",herprint,Earrings,"Earrings, Gold, Multicolour, Stud, Statement, New",FALSE,Title,Default Title,shopify,100,deny,manual,49.90,TRUE,TRUE,https://cdn.shopify.com/s/files/1/0688/1437/3056/files/ER_55_W.jpg,1,Whimsical Gold Multicolour Crystal Wreath Studs,draft
whimsical-gold-multicolour-crystal-wreath-stud-earrings,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0688/1437/3056/files/ER_55_ON.jpg,2,Whimsical Gold Multicolour Crystal Wreath Studs,
vintage-gold-purple-crystal-dome-stud-earrings,Vintage Gold Purple Crystal Dome Stud Earrings,"<p>A chunky ribbed gold dome set with two oval crystals in mauve and deep purple — rich, vintage, a little regal.</p><ul><li>14k gold-plated sterling silver (95% recycled base)</li><li>Two oval 5A zircon in mauve & purple</li><li>Sold as a pair</li><li>Hand-finished & polished</li><li>Arrives in an anti-oxidation pouch</li></ul><p><em>Jewelry that marks your every becoming.</em></p>",herprint,Earrings,"Earrings, Gold, Purple, Stud, Vintage, New",FALSE,Title,Default Title,shopify,100,deny,manual,49.90,TRUE,TRUE,https://cdn.shopify.com/s/files/1/0688/1437/3056/files/ER_59_W.jpg,1,Vintage Gold Purple Crystal Dome Stud Earrings,draft
vintage-gold-purple-crystal-dome-stud-earrings,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0688/1437/3056/files/ER_59_ON.jpg,2,Vintage Gold Purple Crystal Dome Stud Earrings,
gold-crystal-solitaire-huggie-hoop-earrings,Gold Crystal Solitaire Huggie Hoops,"<p>A gold huggie holding one bright solitaire crystal — the warm-toned classic, clean and brilliant.</p><ul><li>14k gold-plated sterling silver (95% recycled base)</li><li>Prong-set round 5A clear zircon solitaire</li><li>Hinged huggie closure</li><li>Sold as a pair</li><li>Hand-finished & polished</li><li>Arrives in an anti-oxidation pouch</li></ul><p><em>Jewelry that marks your every becoming.</em></p>",herprint,Earrings,"Earrings, Gold, Clear, Huggie, Hoop, New",FALSE,Title,Default Title,shopify,100,deny,manual,49.90,TRUE,TRUE,https://cdn.shopify.com/s/files/1/0688/1437/3056/files/ER_61_W.jpg,1,Gold Crystal Solitaire Huggie Hoops,draft
earthy-mustard-resin-wood-square-drop-earrings,Earthy Mustard Resin & Wood Square Drop Earrings,"<p>A glossy mustard resin nugget atop an open square of warm natural wood — earthy, tactile and effortlessly autumnal. Lightweight enough to wear all day.</p><ul><li>Gold-plated post with hand-poured mustard resin</li><li>Natural wood open-square drop</li><li>Sold as a pair</li><li>Hand-finished & polished</li><li>Arrives in an anti-oxidation pouch</li></ul><p><em>Jewelry that marks your every becoming.</em></p>",herprint,Earrings,"Earrings, Gold, Mustard, Resin, Wood, Drop, New",FALSE,Title,Default Title,shopify,100,deny,manual,39.90,TRUE,TRUE,https://cdn.shopify.com/s/files/1/0688/1437/3056/files/ER_45_W.jpg,1,Earthy Mustard Resin & Wood Square Drop Earrings,draft
earthy-mustard-resin-wood-square-drop-earrings,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0688/1437/3056/files/ER_45_ON.jpg,2,Earthy Mustard Resin & Wood Square Drop Earrings,
